City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,12.75,broken clouds
202,Shenjiamen,CN,29.96,122.3,64.96,84,100,13.44,overcast clouds
203,Basco,PH,20.45,121.97,80.11,81,100,28.39,overcast clouds
204,Yumaguzino,RU,52.9,56.39,37.42,81,0,4.99,clear sky
205,Ardakan,IR,32.31,54.02,64.4,16,0,4.7,clear sky
206,Shintomi,JP,32.08,131.47,65.84,86,81,3.62,broken clouds
207,Naze,JP,28.37,129.48,71.6,94,75,8.05,broken clouds
208,Ekibastuz,KZ,51.67,75.37,38.71,68,98,9.64,overcast clouds
209,Sao Luiz Gonzaga,BR,-28.41,-54.96,76.84,44,0,11.32,clear sky
210,Les Cayes,HT,18.2,-73.75,83.57,71,100,10.92,overcast clouds
211,Lindas,NO,60.74,5.16,50.0,81,100,15.99,light rain
212,Arman,RU,59.7,150.17,30.52,95,100,7.63,overcast clouds
213,Tura,IN,25.52,90.22,69.48,96,98,1.99,overcast clouds
214,Kruisfontein,ZA,-34.0,24.73,64.99,74,28,5.01,scattered clouds
215,Ovalle,CL,-30.6,-71.2,78.78,26,0,8.72,clear sky
216,Kamenka,RU,51.32,42.77,42.44,77,16,8.66,few clouds
217,Namatanai,PG,-3.67,152.43,80.42,80,100,5.03,overcast clouds
218,Vaitape,PF,-16.52,-151.75,80.78,78,34,23.67,light rain
219,Methoni,GR,36.82,21.7,64.0,87,0,3.42,clear sky
220,Port Lincoln,AU,-34.73,135.87,62.29,66,65,10.54,light rain
221,San Ramon De La Nueva Oran,AR,-23.13,-64.33,90.0,23,0,1.99,clear sky
222,Castro,BR,-24.79,-50.01,64.69,62,27,8.52,scattered clouds
223,Tateyama,JP,34.98,139.87,59.0,72,40,1.12,scattered clouds
224,Mao,ES,39.89,4.27,60.8,87,20,5.82,few clouds
225,Millet,CA,53.1,-113.47,59.0,41,0,8.52,clear sky
226,Mount Gambier,AU,-37.83,140.77,48.2,93,57,6.93,broken clouds
227,Mitsamiouli,KM,-11.38,43.28,77.29,76,100,8.68,overcast clouds
228,Salisbury,GB,51.07,-1.8,62.01,100,100,25.28,overcast clouds
229,Antofagasta,CL,-23.65,-70.4,62.6,67,20,17.22,few clouds
230,Lompoc,US,34.64,-120.46,82.0,31,1,8.05,clear sky
231,Turayf,SA,31.67,38.66,62.6,93,75,23.04,moderate rain
232,Chuy,UY,-33.7,-53.46,62.82,54,0,9.28,clear sky
233,Dharchula,IN,29.85,80.53,56.44,48,0,6.11,clear sky
234,Aloleng,PH,16.13,119.78,79.56,77,94,28.41,overcast clouds
235,Along,IN,28.17,94.77,64.76,85,32,1.05,scattered clouds
236,Ihosy,MG,-22.4,46.12,63.48,79,99,8.75,overcast clouds
237,Half Moon Bay,US,37.46,-122.43,73.99,68,20,6.93,few clouds
238,Mari-Turek,RU,56.79,49.62,29.01,97,0,5.21,clear sky
239,Chumikan,RU,54.72,135.31,19.65,97,100,8.3,snow
240,Tambopata,PE,-12.73,-69.18,89.6,38,75,5.82,broken clouds
241,Sakakah,SA,29.97,40.21,75.2,22,0,4.7,clear sky
242,Mareeba,AU,-17.0,145.43,69.8,77,40,5.82,scattered clouds
243,Hambantota,LK,6.12,81.12,78.8,100,90,1.12,overcast clouds
244,Konigs Wusterhausen,DE,52.3,13.63,57.2,87,75,11.41,broken clouds
245,Nanortalik,GL,60.14,-45.24,30.07,86,0,29.04,clear sky
246,Alofi,NU,-19.06,-169.92,75.2,94,34,10.29,light rain
247,Matagami,CA,49.75,-77.63,33.8,100,90,3.85,light snow
248,Naryan-Mar,RU,67.67,53.09,28.72,97,100,15.41,overcast clouds
249,Iqaluit,CA,63.75,-68.51,10.4,78,40,4.7,scattered clouds
250,Provideniya,RU,64.38,-173.3,22.06,86,0,2.57,clear sky
251,Barcelos,PT,41.54,-8.62,62.6,100,90,10.29,light intensity drizzle
252,Castellammare Del Golfo,IT,38.02,12.89,68.0,82,0,8.05,clear sky
253,Karlskrona,SE,56.16,15.59,53.6,100,75,14.99,broken clouds
254,Beaverlodge,CA,55.22,-119.44,55.4,54,75,14.99,broken clouds
255,Olafsvik,IS,64.89,-23.71,37.09,79,83,14.52,broken clouds
256,Havre-Saint-Pierre,CA,50.23,-63.6,39.2,51,75,11.41,broken clouds
257,Buraydah,SA,26.33,43.98,71.6,35,0,6.93,clear sky
258,Ucluelet,CA,48.93,-125.55,52.0,81,20,3.36,few clouds
259,Kristiansund,NO,63.11,7.73,53.6,46,0,26.4,light rain
260,Pitimbu,BR,-7.47,-34.81,82.4,74,40,11.41,scattered clouds
261,Pout,SN,14.77,-17.06,80.6,51,0,9.17,clear sky
262,Maarianhamina,AX,60.1,19.93,48.2,93,90,23.04,overcast clouds
263,Srednekolymsk,RU,67.45,153.68,-4.32,91,94,7.81,overcast clouds
264,Merauke,ID,-8.47,140.33,79.0,82,31,10.13,scattered clouds
265,Luderitz,NA,-26.65,15.16,66.81,48,79,12.17,broken clouds
266,Ngunguru,NZ,-35.62,174.5,63.0,93,69,1.01,broken clouds
267,Iskateley,RU,67.68,53.15,28.63,97,100,15.35,overcast clouds
268,Sitka,US,57.05,-135.33,44.6,93,90,7.92,moderate rain
269,Sola,VU,-13.88,167.55,80.82,81,14,17.94,few clouds
270,Fernie,CA,49.5,-115.07,41.0,52,0,3.36,clear sky
271,Namibe,AO,-15.2,12.15,73.54,70,88,5.17,overcast clouds
272,Norman Wells,CA,65.28,-126.83,6.8,65,40,9.17,scattered clouds
273,Fort Nelson,CA,58.81,-122.7,15.8,78,90,11.41,light snow
274,Sinnamary,GF,5.38,-52.95,83.97,71,99,12.12,overcast clouds
275,Hargeysa,SO,9.56,44.06,64.4,68,0,11.23,clear sky
276,Sao Filipe,CV,14.9,-24.5,79.23,77,38,10.49,scattered clouds
277,Bud,US,39.45,-86.18,42.01,48,75,12.75,broken clouds
278,Jamame,SO,0.07,42.75,78.57,80,100,9.01,overcast clouds
279,Tayu,ID,-6.54,111.05,77.74,82,100,2.64,light rain
280,Vao,NC,-22.67,167.48,74.23,84,100,17.43,overcast clouds
281,Zaragoza,ES,41.66,-0.88,66.99,67,0,4.7,clear sky
282,Estepona,ES,36.43,-5.15,62.6,88,20,2.24,few clouds
283,Shirokiy,RU,49.76,129.52,26.44,98,100,6.96,light snow
284,Virginia Beach,US,36.85,-75.98,64.0,93,100,18.81,overcast clouds
285,Kavieng,PG,-2.57,150.8,82.81,72,14,7.36,few clouds
286,Zatoka,UA,46.07,30.47,48.2,100,90,11.18,overcast clouds
287,Lagoa,PT,39.05,-27.98,64.6,78,100,20.02,light rain
288,Kuusamo,FI,65.97,29.18,39.2,93,90,10.29,overcast clouds
289,Tulun,RU,54.56,100.58,21.13,87,99,6.2,overcast clouds
290,Pangnirtung,CA,66.15,-65.71,17.6,67,75,3.62,shower rain
291,Karasjok,NO,69.47,25.51,39.2,80,75,18.34,broken clouds
292,Udachnyy,RU,66.42,112.4,3.2,84,0,6.71,clear sky
293,Port Blair,IN,11.67,92.75,80.19,79,80,3.49,broken clouds
294,Sioux Lookout,CA,50.1,-91.92,23.0,53,20,11.41,few clouds
295,Krasnoborsk,RU,61.56,45.93,28.98,96,0,3.87,clear sky
296,Trincomalee,LK,8.57,81.23,81.07,71,14,4.63,few clouds
297,Swan Hill,AU,-35.34,143.55,54.16,71,52,6.13,light rain
298,Paracuru,BR,-3.41,-39.03,81.0,77,3,23.0,clear sky
299,Algiers,DZ,36.75,3.04,57.2,87,20,2.24,few clouds
300,Yulara,AU,-25.24,130.99,77.0,20,31,10.29,scattered clouds
301,Xining,CN,36.62,101.77,30.85,81,18,1.83,few clouds
302,Mizdah,LY,31.45,12.98,65.14,52,83,10.8,broken clouds
303,Jaen,ES,38.0,-3.5,64.99,52,50,5.99,scattered clouds
304,Lunglei,IN,22.88,92.73,64.26,100,77,1.9,light rain
305,Inyonga,TZ,-6.72,32.07,75.04,43,97,4.79,overcast clouds
306,Pangody,RU,65.85,74.49,29.77,97,90,19.91,overcast clouds
307,Faya,SA,18.39,42.45,64.4,82,0,3.33,clear sky
308,Sawakin,SD,19.11,37.33,84.4,72,2,3.02,clear sky
309,Cuiluan,CN,47.72,128.65,28.96,94,100,9.46,overcast clouds
310,Aquiraz,BR,-3.9,-38.39,84.2,70,40,17.22,scattered clouds
311,Lorengau,PG,-2.02,147.27,82.71,74,15,6.33,light rain
312,Tortoli,IT,39.93,9.66,64.4,88,40,2.24,scattered clouds
313,Coquimbo,CL,-29.95,-71.34,59.0,72,20,13.87,few clouds
